axon_id,raw_label,area_px,area_um2,eq_diam_um,eccentricity,solidity,cy_crop,cx_crop,cy_img,cx_img
1,1,187.0,0.0748,0.3086070607523266,0.5699454945880701,0.9033816425120773,104.54010695187166,936.2459893048128,104.54010695187166,936.2459893048128
2,2,305.0,0.12200000000000001,0.3941258992475499,0.5811316809680223,0.9050445103857567,687.5868852459016,635.1049180327869,687.5868852459016,635.1049180327869
3,3,457.0,0.18280000000000002,0.48243982917830047,0.830693949018972,0.8788461538461538,726.8687089715536,741.1006564551423,726.8687089715536,741.1006564551423
4,4,154.0,0.0616,0.2800563442518059,0.6665717685498833,0.8953488372093024,779.4935064935065,538.9285714285714,779.4935064935065,538.9285714285714
5,5,154.0,0.0616,0.2800563442518059,0.8620922237064653,0.8901734104046243,816.9675324675325,732.6103896103896,816.9675324675325,732.6103896103896
6,6,209.0,0.08360000000000001,0.32625576767294034,0.6804600640010465,0.9166666666666666,842.1148325358852,1078.8803827751196,842.1148325358852,1078.8803827751196
